,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007,80000,"45,000 kms",Petrol
1,Mahindra Jeep CL550,Mahindra,2006,425000,40 kms,Diesel
2,Hyundai Grand i10,Hyundai,2014,325000,"28,000 kms",Petrol
3,Ford EcoSport Titanium,Ford,2014,575000,"36,000 kms",Diesel
4,Ford Figo,Ford,2012,175000,"41,000 kms",Diesel
5,Hyundai Eon,Hyundai,2013,190000,"25,000 kms",Petrol
6,Ford EcoSport Ambiente,Ford,2016,830000,"24,530 kms",Diesel
7,Maruti Suzuki Alto,Maruti,2015,250000,"60,000 kms",Petrol
8,Skoda Fabia Classic,Skoda,2010,182000,"60,000 kms",Petrol
9,Maruti Suzuki Stingray,Maruti,2015,315000,"30,000 kms",Petrol
10,Hyundai Elite i20,Hyundai,2014,415000,"32,000 kms",Petrol
11,Mahindra Scorpio SLE,Mahindra,2015,320000,"48,660 kms",Diesel
12,Hyundai Santro Xing,Hyundai,2007,80000,"45,000 kms",Petrol
13,Mahindra Jeep CL550,Mahindra,2006,425000,40 kms,Diesel
14,Audi A8,Audi,2017,1000000,"4,000 kms",Petrol
15,Audi Q7,Audi,2014,500000,"16,934 kms",Diesel
16,Mahindra Scorpio S10,Mahindra,2016,350000,"43,000 kms",Diesel
17,Maruti Suzuki Alto,Maruti,2014,160000,"35,550 kms",Petrol
18,Mahindra Scorpio S10,Mahindra,2016,350000,"43,000 kms",Diesel
19,Mahindra Scorpio S10,Mahindra,2016,310000,"39,522 kms",Diesel
20,Maruti Suzuki Alto,Maruti,2015,75000,"39,000 kms",Petrol
21,Hyundai i20 Sportz,Hyundai,2012,100000,"55,000 kms",Petrol
22,Hyundai i20 Sportz,Hyundai,2012,100000,"55,000 kms",Petrol
23,Hyundai i20 Sportz,Hyundai,2012,100000,"55,000 kms",Petrol
24,Maruti Suzuki Alto,Maruti,2017,190000,"72,000 kms",Petrol
25,Maruti Suzuki Vitara,Maruti,2016,290000,"15,975 kms",Diesel
26,Maruti Suzuki Alto,Maruti,2008,95000,"70,000 kms",Petrol
27,Mahindra Bolero DI,Mahindra,2017,180000,"23,452 kms",Diesel
28,Maruti Suzuki Swift,Maruti,2014,385000,"35,522 kms",Diesel
29,Mahindra Scorpio S10,Mahindra,2015,250000,"48,508 kms",Diesel
30,Maruti Suzuki Swift,Maruti,2017,180000,"15,487 kms",Petrol
31,Maruti Suzuki Wagon,Maruti,2013,105000,"39,000 kms",Petrol
32,Maruti Suzuki Wagon,Maruti,2013,105000,"39,000 kms",Petrol
33,Toyota Innova 2.0,Toyota,2012,650000,"82,000 kms",Diesel
34,Renault Lodgy 85,Renault,2018,689999,"20,000 kms",Diesel
35,Skoda Yeti Ambition,Skoda,2012,448000,"68,000 kms",Diesel
36,Maruti Suzuki Baleno,Maruti,2017,549000,"32,000 kms",Diesel
37,Renault Duster 110,Renault,2012,501000,"38,000 kms",Diesel
38,Renault Duster 85,Renault,2013,489999,"27,000 kms",Diesel
39,Honda City 1.5,Honda,2011,280000,"33,000 kms",Petrol
40,Maruti Suzuki Alto,Maruti,2015,250000,"60,000 kms",Petrol
41,Maruti Suzuki Dzire,Maruti,2013,349999,"46,000 kms",Diesel
42,Honda Amaze,Honda,2013,284999,"46,000 kms",Diesel
43,Honda Amaze 1.5,Honda,2015,345000,"36,000 kms",Diesel
44,Honda City,Honda,2015,499999,"55,000 kms",Petrol
45,Datsun Redi GO,Datsun,2017,235000,"16,000 kms",Petrol
46,Maruti Suzuki SX4,Maruti,2010,249999,"36,000 kms",Petrol
47,Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,"47,000 kms",Diesel
48,Mahindra Bolero DI,Mahindra,2017,180000,"23,452 kms",Diesel
49,Maruti Suzuki Swift,Maruti,2014,385000,"35,522 kms",Diesel
50,Mahindra Scorpio S10,Mahindra,2015,250000,"48,508 kms",Diesel
51,Maruti Suzuki Swift,Maruti,2017,180000,"15,487 kms",Petrol
52,Maruti Suzuki Wagon,Maruti,2013,105000,"39,000 kms",Petrol
53,Maruti Suzuki Wagon,Maruti,2013,105000,"39,000 kms",Petrol
54,Mahindra Scorpio S10,Mahindra,2015,395000,"35,000 kms",Diesel
55,Maruti Suzuki Swift,Maruti,2017,220000,"30,874 kms",Petrol
56,Honda City ZX,Honda,2017,170000,"15,000 kms",Diesel
57,Maruti Suzuki Wagon,Maruti,2013,85000,"29,685 kms",Petrol
58,Ford Figo,Ford,2012,175000,"41,000 kms",Diesel
59,Hyundai Eon,Hyundai,2013,190000,"25,000 kms",Petrol
60,Tata Indigo eCS,Tata,2017,200000,"1,30,000 kms",Diesel
61,Ford EcoSport Ambiente,Ford,2016,830000,"24,530 kms",Diesel
62,Tata Indigo eCS,Tata,2017,200000,"1,30,000 kms",Diesel
63,Mahindra Scorpio SLE,Mahindra,2012,570000,"19,000 kms",Diesel
64,Volkswagen Polo Highline,Volkswagen,2014,315000,"60,000 kms",Petrol
65,Skoda Fabia Classic,Skoda,2010,182000,"60,000 kms",Petrol
66,Maruti Suzuki Stingray,Maruti,2015,315000,"30,000 kms",Petrol
67,Chevrolet Spark LS,Chevrolet,2010,110000,"41,000 kms",Petrol
68,Renault Duster 110PS,Renault,2012,501000,"35,000 kms",Diesel
69,Honda City,Honda,2015,448999,"54,000 kms",Petrol
70,Mini Cooper S,Mini,2013,1891111,"13,000 kms",Petrol
71,Datsun Redi GO,Datsun,2017,235000,"16,000 kms",Petrol
72,Skoda Fabia 1.2L,Skoda,2011,159500,"38,200 kms",Diesel
73,Honda Amaze,Honda,2015,344999,"22,000 kms",Petrol
74,Honda Amaze,Honda,2015,344999,"22,000 kms",Petrol
75,Renault Duster,Renault,2014,449999,"50,000 kms",Diesel
76,Mini Cooper S,Mini,2013,1891111,"13,500 kms",Petrol
77,Mahindra Scorpio S4,Mahindra,2015,865000,"30,000 kms",Diesel
78,Mahindra Scorpio VLX,Mahindra,2014,699000,"50,000 kms",Diesel
79,Mahindra Quanto C8,Mahindra,2013,375000,"20,000 kms",Diesel
80,Ford EcoSport,Ford,2017,489999,"39,000 kms",Petrol
81,Honda Brio,Honda,2012,224999,"30,000 kms",Petrol
82,Volkswagen Vento Highline,Volkswagen,2019,1200000,"3,600 kms",Diesel
83,Hyundai i20 Magna,Hyundai,2009,195000,"32,000 kms",Petrol
84,Toyota Corolla Altis,Toyota,2010,351000,"38,000 kms",Diesel
85,Hyundai Verna Transform,Hyundai,2008,160000,"45,000 kms",Petrol
86,Toyota Corolla Altis,Toyota,2009,240000,"35,000 kms",Petrol
87,Honda City 1.5,Honda,2005,90000,"50,000 kms",Petrol
88,Hyundai Elite i20,Hyundai,2014,415000,"32,000 kms",Petrol
89,Skoda Fabia 1.2L,Skoda,2011,155000,"45,863 kms",Diesel
90,BMW 3 Series,BMW,2011,600000,"60,500 kms",Petrol
91,Maruti Suzuki A,Maruti,2011,189500,"12,500 kms",Petrol
92,Toyota Etios GD,Toyota,2013,350000,"60,000 kms",Diesel
93,Ford Figo Diesel,Ford,2012,210000,"35,000 kms",Diesel
94,Maruti Suzuki Swift,Maruti,2014,390000,"35,000 kms",Petrol
95,Chevrolet Beat LT,Chevrolet,2012,135000,"45,000 kms",Diesel
96,BMW 7 Series,BMW,2009,1600000,"35,000 kms",Petrol
97,Mahindra XUV500 W8,Mahindra,2013,701000,"38,000 kms",Diesel
98,Hyundai i10 Magna,Hyundai,2014,265000,"18,000 kms",Petrol
99,Hyundai Verna Fluidic,Hyundai,2015,525000,"35,000 kms",Diesel
100,Maruti Suzuki Swift,Maruti,2013,372000,"13,349 kms",Petrol
101,Maruti Suzuki Ertiga,Maruti,2016,635000,"29,000 kms",Petrol
102,Ford EcoSport Titanium,Ford,2014,550000,"44,000 kms",Diesel
103,Maruti Suzuki Ertiga,Maruti,2016,575000,"29,000 kms",Petrol
104,Maruti Suzuki Ertiga,Maruti,2013,485000,"42,000 kms",Diesel
105,Maruti Suzuki Alto,Maruti,2012,155000,"14,000 kms",Petrol
106,Hyundai Grand i10,Hyundai,2014,345000,"49,000 kms",Diesel
107,Honda Amaze 1.2,Honda,2014,325000,"42,000 kms",Petrol
108,Hyundai i20 Asta,Hyundai,2012,329500,"36,200 kms",Diesel
109,Ford Figo Diesel,Ford,2014,195000,"50,000 kms",Diesel
110,Maruti Suzuki Eeco,Maruti,2015,251111,"55,000 kms",Petrol
111,Maruti Suzuki Ertiga,Maruti,2014,569999,"45,000 kms",Petrol
112,Maruti Suzuki Esteem,Maruti,2007,69999,"51,000 kms",Petrol
113,Maruti Suzuki Ritz,Maruti,2014,299999,"19,000 kms",Petrol
114,Maruti Suzuki Dzire,Maruti,2009,220000,"46,000 kms",Petrol
115,Maruti Suzuki Ritz,Maruti,2013,399999,"33,000 kms",Diesel
116,Maruti Suzuki Swift,Maruti,2013,372000,"13,349 kms",Petrol
117,Maruti Suzuki Dzire,Maruti,2015,450000,"1,04,000 kms",Diesel
118,Toyota Etios Liva,Toyota,2014,270000,"55,000 kms",Petrol
119,Hyundai i20 Sportz,Hyundai,2011,350000,"33,333 kms",Diesel
120,Chevrolet Spark,Chevrolet,2012,158400,"33,600 kms",Petrol
121,Maruti Suzuki Alto,Maruti,2017,350000,"5,600 kms",Petrol
122,Nissan Micra XV,Nissan,2011,179000,"41,000 kms",Petrol
123,Maruti Suzuki Swift,Maruti,2007,125000,"70,000 kms",Petrol
124,Maruti Suzuki Alto,Maruti,2018,200000,"7,500 kms",Petrol
125,Honda Amaze 1.5,Honda,2013,299000,"45,000 kms",Diesel
126,Maruti Suzuki Alto,Maruti,2015,220000,"38,000 kms",Petrol
127,Chevrolet Beat,Chevrolet,2015,150000,"30,000 kms",Petrol
128,Honda City 1.5,Honda,2010,285000,"35,000 kms",Petrol
129,Ford EcoSport Trend,Ford,2016,830000,"24,330 kms",Diesel
130,Hyundai i20 Asta,Hyundai,2009,210000,"65,480 kms",Petrol
131,Maruti Suzuki Swift,Maruti,2013,340000,"41,000 kms",Petrol
132,Tata Indica V2,Tata,2006,90000,"20,000 kms",Petrol
133,Hindustan Motors Ambassador,Hindustan,2000,70000,"2,00,000 kms",Diesel
134,Toyota Corolla Altis,Toyota,2010,289999,"70,000 kms",Petrol
135,Toyota Corolla Altis,Toyota,2012,349999,"59,000 kms",Petrol
136,Toyota Innova 2.5,Toyota,2012,849999,"99,000 kms",Diesel
137,Volkswagen Jetta Highline,Volkswagen,2014,749999,"46,000 kms",Diesel
138,Volkswagen Polo Comfortline,Volkswagen,2015,399999,"2,800 kms",Petrol
139,Volkswagen Polo,Volkswagen,2014,274999,"32,000 kms",Petrol
140,Mahindra Scorpio,Mahindra,2015,984999,"22,000 kms",Diesel
141,Renault Duster,Renault,2014,449999,"50,000 kms",Diesel
142,Honda Amaze,Honda,2015,344999,"22,000 kms",Petrol
143,Nissan Sunny,Nissan,2012,224999,"45,000 kms",Petrol
144,Hyundai Elite i20,Hyundai,2018,599999,"21,000 kms",Petrol
145,Renault Kwid,Renault,2016,244999,"11,000 kms",Petrol
146,Renault Duster,Renault,2013,399999,"41,000 kms",Diesel
147,Ford EcoSport,Ford,2017,489999,"39,000 kms",Petrol
148,Renault Duster,Renault,2014,474999,"50,000 kms",Diesel
149,Mahindra Scorpio VLX,Mahindra,2011,499999,"66,000 kms",Diesel
150,Maruti Suzuki Alto,Maruti,2018,310000,"3,000 kms",Petrol
151,Chevrolet Spark LT,Chevrolet,2010,85000,"45,000 kms",Petrol
152,Datsun Redi GO,Datsun,2016,245000,"7,000 kms",Petrol
153,Maruti Suzuki Swift,Maruti,2010,189500,"38,500 kms",Diesel
154,Fiat Punto Emotion,Fiat,2012,169500,"37,200 kms",Diesel
155,Maruti Suzuki Swift,Maruti,2010,159500,"43,200 kms",Diesel
156,Toyota Etios GD,Toyota,2013,275000,"24,800 kms",Petrol
157,Hyundai i20 Sportz,Hyundai,2014,370000,"60,000 kms",Diesel
158,Hyundai i10 Sportz,Hyundai,2010,168000,"45,872 kms",Petrol
159,Chevrolet Beat LT,Chevrolet,2011,150000,"40,000 kms",Diesel
160,Chevrolet Beat LS,Chevrolet,2011,145000,"45,000 kms",Diesel
161,Chevrolet Beat LT,Chevrolet,2012,98500,"38,000 kms",Diesel
162,Mahindra Scorpio VLX,Mahindra,2014,699000,"50,000 kms",Diesel
163,Tata Indigo CS,Tata,2011,85000,"11,400 kms",Diesel
164,Toyota Corolla Altis,Toyota,2015,575000,"42,000 kms",Petrol
165,Honda City 1.5,Honda,2014,549000,"39,000 kms",Petrol
166,Maruti Suzuki Swift,Maruti,2011,209000,"47,000 kms",Diesel
167,Hyundai Eon Era,Hyundai,2013,185000,"27,000 kms",Petrol
168,Mahindra Scorpio S10,Mahindra,2015,900000,"97,200 kms",Diesel
169,Mahindra XUV500,Mahindra,2014,699999,"52,000 kms",Diesel
170,Honda Brio,Honda,2012,224999,"30,000 kms",Petrol
171,Ford Fiesta,Ford,2011,274999,"55,000 kms",Diesel
172,Honda Amaze,Honda,2013,284999,"46,000 kms",Diesel
173,Honda City,Honda,2015,599999,"30,000 kms",Diesel
174,Maruti Suzuki Wagon,Maruti,2012,199999,"44,000 kms",Petrol
175,Honda City,Honda,2014,544999,"45,000 kms",Diesel
176,Hyundai i20,Hyundai,2009,199000,"31,000 kms",Petrol
177,Tata Indigo eCS,Tata,2016,320000,"1,75,430 kms",Diesel
178,Hyundai Fluidic Verna,Hyundai,2015,540000,"38,000 kms",Diesel
179,Mahindra Quanto C8,Mahindra,2013,340000,"37,000 kms",Diesel
180,Fiat Petra ELX,Fiat,2008,75000,"65,000 kms",Petrol
181,Skoda Fabia 1.2L,Skoda,2011,159500,"38,200 kms",Diesel
182,Mini Cooper S,Mini,2013,1891111,"13,000 kms",Petrol
183,Hyundai Santro Xing,Hyundai,2005,49000,"7,500 kms",Petrol
184,Maruti Suzuki Ciaz,Maruti,2016,700000,"3,350 kms",Petrol
185,Maruti Suzuki Zen,Maruti,2000,55000,"60,000 kms",Petrol
186,Honda City,Honda,2015,448999,"54,000 kms",Petrol
187,Hyundai Creta 1.6,Hyundai,2017,895000,"32,000 kms",Petrol
188,Mahindra Scorpio SLX,Mahindra,2007,355000,"75,000 kms",Diesel
189,Mahindra Scorpio SLE,Mahindra,2012,565000,"62,000 kms",Diesel
190,Toyota Innova 2.5,Toyota,2006,365000,"73,000 kms",Diesel
191,Maruti Suzuki Alto,Maruti,2011,145000,"41,000 kms",Petrol
192,Maruti Suzuki Wagon,Maruti,2011,210000,"35,000 kms",Petrol
193,Tata Nano Cx,Tata,2013,40000,"2,200 kms",Petrol
194,Maruti Suzuki Alto,Maruti,2013,125000,"39,000 kms",Petrol
195,Maruti Suzuki Wagon,Maruti,2009,135000,"45,000 kms",Petrol
196,Maruti Suzuki Swift,Maruti,2006,135000,"45,000 kms",Petrol
197,Tata Sumo Victa,Tata,2012,285000,"65,000 kms",Diesel
198,Maruti Suzuki Wagon,Maruti,2010,145000,"54,870 kms",Petrol
199,Maruti Suzuki Alto,Maruti,2010,135000,"34,580 kms",Petrol
200,Volkswagen Passat Diesel,Volkswagen,2009,450000,"97,000 kms",Diesel
201,Renault Scala RxL,Renault,2015,375000,"25,000 kms",Diesel
202,Mahindra Quanto C8,Mahindra,2013,375000,"20,000 kms",Diesel
203,Hyundai Grand i10,Hyundai,2014,365000,"20,000 kms",Petrol
204,Hyundai i20 Active,Hyundai,2015,500000,"18,000 kms",Petrol
205,Mahindra Xylo E4,Mahindra,2012,400000,"35,000 kms",Diesel
206,Mahindra Jeep MM,Mahindra,2019,390000,60 kms,Diesel
207,Renault Duster 110PS,Renault,2012,501000,"35,000 kms",Diesel
208,Mahindra Bolero SLE,Mahindra,2013,330000,"80,200 kms",Diesel
209,Force Motors Force,Force,2015,580000,"3,200 kms",Diesel
210,Maruti Suzuki SX4,Maruti,2012,265000,"46,000 kms",Diesel
211,Mahindra Jeep CL550,Mahindra,2019,379000,"0,000 kms",Diesel
212,Maruti Suzuki Alto,Maruti,2015,219000,"5,000 kms",Petrol
213,Mahindra Jeep CL550,Mahindra,2018,385000,588 kms,Diesel
214,Toyota Etios,Toyota,2011,275000,"36,000 kms",Diesel
215,Volkswagen Polo,Volkswagen,2015,330000,"38,000 kms",Diesel
216,Honda City ZX,Honda,2008,110000,"45,000 kms",Petrol
217,Maruti Suzuki Wagon,Maruti,2006,80000,"71,200 kms",Petrol
218,Honda City VX,Honda,2016,519000,"52,000 kms",Diesel
219,Mahindra Thar CRDe,Mahindra,2016,730000,"29,000 kms",Diesel
220,Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,"47,000 kms",Diesel
221,Audi A4 1.8,Audi,2009,699000,"47,000 kms",Petrol
222,Mercedes Benz GLA,Mercedes,2015,2000000,"20,000 kms",Diesel
223,Land Rover Freelander,Land,2015,2100000,"30,000 kms",Diesel
224,Renault Kwid RXT,Renault,2017,340000,"5,000 kms",Petrol
225,Tata Aria Pleasure,Tata,2014,390000,"35,000 kms",Diesel
226,Mercedes Benz B,Mercedes,2014,1400000,"31,000 kms",Petrol
227,Datsun GO T,Datsun,2016,245000,"7,000 kms",Petrol
228,Tata Indigo eCS,Tata,2016,320000,"1,75,430 kms",Diesel
229,Tata Indigo eCS,Tata,2016,320000,"1,75,400 kms",Diesel
230,Honda Jazz VX,Honda,2016,450000,"41,000 kms",Petrol
231,Honda Amaze 1.2,Honda,2014,311000,"33,000 kms",Petrol
232,Honda Amaze,Honda,2013,284999,"46,000 kms",Diesel
233,Honda City,Honda,2012,399999,"45,000 kms",Petrol
234,Honda City,Honda,2015,599999,"39,000 kms",Diesel
235,Honda Amaze,Honda,2015,344999,"22,000 kms",Petrol
236,Audi A4 1.8,Audi,2009,699000,"47,000 kms",Petrol
237,Force Motors Force,Force,2015,580000,"3,200 kms",Diesel
238,Mahindra Scorpio S4,Mahindra,2015,855000,"30,000 kms",Diesel
239,Hyundai i20 Active,Hyundai,2015,535000,"37,000 kms",Diesel
240,Mini Cooper S,Mini,2013,1891111,"13,000 kms",Petrol
241,Maruti Suzuki Ciaz,Maruti,2017,699000,"14,000 kms",Petrol
242,Chevrolet Tavera Neo,Chevrolet,2013,375000,"55,000 kms",Diesel
243,Honda Amaze,Honda,2013,284999,"46,000 kms",Diesel
244,Hyundai Eon Sportz,Hyundai,2012,178000,"30,000 kms",Petrol
245,Tata Sumo Gold,Tata,2013,300000,"50,000 kms",Diesel
246,Maruti Suzuki Wagon,Maruti,2003,90000,"45,000 kms",Petrol
247,Maruti Suzuki Esteem,Maruti,2006,95000,"45,000 kms",Petrol
248,Maruti Suzuki Eeco,Maruti,2015,255000,"9,300 kms",Petrol
249,Chevrolet Enjoy 1.4,Chevrolet,2013,245000,"55,000 kms",Diesel
250,Hyundai i20 Asta,Hyundai,2012,329500,"36,200 kms",Diesel
251,Ford Figo Diesel,Ford,2014,195000,"50,000 kms",Diesel
252,Maruti Suzuki Eeco,Maruti,2015,251111,"55,000 kms",Petrol
253,Maruti Suzuki Ertiga,Maruti,2014,569999,"45,000 kms",Petrol
254,Maruti Suzuki Esteem,Maruti,2007,69999,"51,000 kms",Petrol
255,Maruti Suzuki Ritz,Maruti,2014,299999,"19,000 kms",Petrol
256,Maruti Suzuki Dzire,Maruti,2009,220000,"46,000 kms",Petrol
257,Maruti Suzuki Ritz,Maruti,2013,399999,"33,000 kms",Diesel
258,Maruti Suzuki SX4,Maruti,2010,249999,"36,000 kms",Petrol
259,Maruti Suzuki Wagon,Maruti,2015,289999,"22,000 kms",Petrol
260,Mini Cooper S,Mini,2013,1891111,"13,500 kms",Petrol
261,Nissan Terrano XL,Nissan,2015,499999,"60,000 kms",Diesel
262,Renault Duster 85,Renault,2013,489999,"27,000 kms",Diesel
263,Renault Duster 85,Renault,2014,489999,"59,000 kms",Diesel
264,Renault Duster 85,Renault,2015,549999,"19,000 kms",Diesel
265,Maruti Suzuki Dzire,Maruti,2013,380000,"30,000 kms",Petrol
266,Renault Kwid RXT,Renault,2018,325000,"15,000 kms",Petrol
267,Maruti Suzuki Maruti,Maruti,2003,57000,"56,758 kms",Petrol
268,Renault Kwid 1.0,Renault,2018,349999,"10,000 kms",Petrol
269,Renault Lodgy 85,Renault,2018,689999,"20,000 kms",Diesel
270,Renault Scala RxL,Renault,2014,349999,"49,000 kms",Diesel
271,Hyundai Grand i10,Hyundai,2014,410000,"41,000 kms",Petrol
